bounty,killStreakLength,shutdownBounty,timestamp,type,gameId,positionX,positionY,victim,killer,assistant1,assistant2,assistant3,assistant4,assistant5
400,0,0,5.957333333333334,CHAMPION_KILL,2677225,14116,4495,BLG Elk,JDG Kanavi,JDG Ruler,JDG MISSING,-,-,-
300,0,0,5.995666666666667,CHAMPION_KILL,2677225,13008,3696,JDG MISSING,BLG ON,BLG Elk,-,-,-,-
300,0,0,8.913166666666667,CHAMPION_KILL,2677225,9101,8692,BLG Yagao,JDG knight,JDG Kanavi,-,-,-,-
300,0,0,9.703716666666667,CHAMPION_KILL,2677225,1704,10767,JDG 369,BLG Bin,BLG XUN,-,-,-,-
300,1,0,9.926133333333333,CHAMPION_KILL,2677225,2456,12303,BLG Bin,JDG knight,-,-,-,-,-
274,0,0,10.05915,CHAMPION_KILL,2677225,3763,9976,JDG MISSING,BLG Elk,BLG XUN,BLG Yagao,BLG ON,-,-
300,2,0,11.043366666666667,CHAMPION_KILL,2677225,4865,9110,BLG Bin,JDG knight,JDG Kanavi,JDG Ruler,JDG MISSING,-,-
300,0,0,11.097866666666667,CHAMPION_KILL,2677225,3962,10270,BLG Elk,JDG 369,JDG knight,-,-,-,-
300,3,0,11.105066666666668,CHAMPION_KILL,2677225,5742,9306,BLG Yagao,JDG knight,JDG 369,JDG Kanavi,JDG Ruler,JDG MISSING,
300,0,0,13.692616666666666,CHAMPION_KILL,2677225,13272,2848,JDG Kanavi,BLG Elk,BLG XUN,BLG Yagao,BLG ON,-,-
300,1,0,22.201333333333334,CHAMPION_KILL,2677225,12691,2558,BLG Bin,JDG 369,JDG Kanavi,JDG MISSING,-,-,-
300,0,0,24.18805,CHAMPION_KILL,2677225,8980,9514,BLG ON,JDG Ruler,JDG Kanavi,-,-,-,-
274,4,0,25.0533,CHAMPION_KILL,2677225,4286,6216,BLG Bin,JDG knight,JDG 369,-,-,-,-
300,1,0,25.190133333333332,CHAMPION_KILL,2677225,4659,8157,BLG Elk,JDG Ruler,JDG 369,JDG knight,JDG MISSING,-,-
300,0,0,25.201866666666668,CHAMPION_KILL,2677225,4347,7274,BLG Yagao,JDG MISSING,JDG 369,JDG knight,JDG Ruler,-,-
300,2,0,25.22685,CHAMPION_KILL,2677225,3774,8706,BLG XUN,JDG Ruler,JDG 369,JDG knight,JDG MISSING,-,-
300,0,0,25.6177,CHAMPION_KILL,2677225,4195,12361,BLG ON,JDG Kanavi,JDG MISSING,-,-,-,-
400,0,0,2.080433333333333,CHAMPION_KILL,2677229,8226,3550,BLG XUN,JDG Kanavi,JDG 369,JDG MISSING,-,-,-
300,0,0,2.11885,CHAMPION_KILL,2677229,7577,3186,JDG 369,BLG Elk,BLG XUN,BLG ON,-,-,-
300,1,0,3.155483333333333,CHAMPION_KILL,2677229,13768,1578,JDG MISSING,BLG Elk,BLG XUN,BLG ON,-,-,-
300,0,0,3.2636833333333333,CHAMPION_KILL,2677229,13399,1173,BLG XUN,JDG Ruler,JDG MISSING,-,-,-,-
300,1,100,11.701883333333333,CHAMPION_KILL,2677229,5728,12971,BLG Bin,JDG Kanavi,JDG 369,JDG MISSING,-,-,-
300,0,0,14.330133333333333,CHAMPION_KILL,2677229,13988,3936,JDG knight,BLG Yagao,BLG XUN,BLG ON,-,-,-
300,1,0,15.49325,CHAMPION_KILL,2677229,6014,8978,BLG XUN,JDG Ruler,JDG 369,JDG Kanavi,JDG MISSING,-,-
300,0,0,17.107216666666666,CHAMPION_KILL,2677229,6442,13798,BLG Bin,JDG 369,JDG Ruler,-,-,-,-
274,2,0,18.395883333333334,CHAMPION_KILL,2677229,12177,7474,JDG knight,BLG Elk,BLG Yagao,-,-,-,-
300,2,150,25.306533333333334,CHAMPION_KILL,2677229,10290,8475,BLG Bin,JDG Kanavi,-,-,-,-,-
274,2,0,25.76,CHAMPION_KILL,2677229,2057,7864,BLG XUN,JDG Ruler,JDG MISSING,-,-,-,-
300,3,550,25.850883333333332,CHAMPION_KILL,2677229,949,10828,BLG Elk,JDG Ruler,JDG Kanavi,JDG knight,JDG MISSING,-,-
300,1,200,25.877583333333334,CHAMPION_KILL,2677229,2104,9785,JDG Ruler,BLG Yagao,BLG XUN,BLG Elk,BLG ON,-,-
