gameTime,gameId,positionX,positionY,killType,killer,victim,assistant1,assistant2,assistant3,assistant4,assistant5
357440,2677225,14116,4495,firstBlood,JDG Kanavi,BLG Elk,JDG Ruler,JDG MISSING,-,-,-
359740,2677225,13008,3696,-,BLG ON,JDG MISSING,BLG Elk,-,-,-,-
534790,2677225,9101,8692,-,JDG knight,BLG Yagao,JDG Kanavi,-,-,-,-
582223,2677225,1704,10767,-,BLG Bin,JDG 369,BLG XUN,-,-,-,-
595568,2677225,2456,12303,-,JDG knight,BLG Bin,-,-,-,-,-
603549,2677225,3763,9976,-,BLG Elk,JDG MISSING,BLG Yagao,BLG XUN,BLG ON,-,-
662602,2677225,4865,9110,-,JDG knight,BLG Bin,JDG Ruler,JDG MISSING,JDG Kanavi,-,-
665872,2677225,3962,10270,-,JDG 369,BLG Elk,JDG knight,-,-,-,-
666304,2677225,5742,9306,-,JDG knight,BLG Yagao,JDG Ruler,JDG MISSING,JDG Kanavi,JDG 369,-
821557,2677225,13272,2848,-,BLG Elk,JDG Kanavi,BLG Yagao,BLG XUN,BLG ON,-,-
1332080,2677225,12691,2558,-,JDG 369,BLG Bin,JDG MISSING,JDG Kanavi,-,-,-
1451283,2677225,8980,9514,-,JDG Ruler,BLG ON,JDG Kanavi,-,-,-,-
1503198,2677225,4286,6216,-,JDG knight,BLG Bin,JDG 369,-,-,-,-
1511408,2677225,4659,8157,-,JDG Ruler,BLG Elk,JDG MISSING,JDG knight,JDG 369,-,-
1512112,2677225,4347,7274,-,JDG MISSING,BLG Yagao,JDG Ruler,JDG knight,JDG 369,-,-
1513611,2677225,3774,8706,-,JDG Ruler,BLG XUN,JDG MISSING,JDG knight,JDG 369,-,-
1537062,2677225,4195,12361,-,JDG Kanavi,BLG ON,JDG MISSING,-,-,-,-
124826,2677229,8226,3550,firstBlood,JDG Kanavi,BLG XUN,JDG MISSING,JDG 369,-,-,-
127131,2677229,7577,3186,-,BLG Elk,JDG 369,BLG XUN,BLG ON,-,-,-
189329,2677229,13768,1578,-,BLG Elk,JDG MISSING,BLG XUN,BLG ON,-,-,-
195821,2677229,13399,1173,-,JDG Ruler,BLG XUN,JDG MISSING,-,-,-,-
702113,2677229,5728,12971,-,JDG Kanavi,BLG Bin,JDG MISSING,JDG 369,-,-,-
859808,2677229,13988,3936,-,BLG Yagao,JDG knight,BLG XUN,BLG ON,-,-,-
929595,2677229,6014,8978,-,JDG Ruler,BLG XUN,JDG MISSING,JDG Kanavi,JDG 369,-,-
1026433,2677229,6442,13798,-,JDG 369,BLG Bin,JDG Ruler,-,-,-,-
1103753,2677229,12177,7474,-,BLG Elk,JDG knight,BLG Yagao,-,-,-,-
1518392,2677229,10290,8475,-,JDG Kanavi,BLG Bin,-,-,-,-,-
1545600,2677229,2057,7864,-,JDG Ruler,BLG XUN,JDG MISSING,-,-,-,-
1551053,2677229,949,10828,-,JDG Ruler,BLG Elk,JDG MISSING,JDG knight,JDG Kanavi,-,-
1552655,2677229,2104,9785,-,BLG Yagao,JDG Ruler,BLG Elk,BLG XUN,BLG ON,-,-
1553887,2677229,1410,11312,-,JDG knight,BLG Yagao,JDG Ruler,JDG MISSING,JDG Kanavi,JDG 369,-
1554956,2677229,1804,11136,-,BLG Yagao,JDG knight,BLG ON,-,-,-,-
1665980,2677229,11424,8842,-,BLG Yagao,JDG knight,BLG Elk,BLG XUN,BLG ON,-,-
1712801,2677229,7285,6404,-,BLG Bin,JDG Ruler,BLG XUN,BLG ON,-,-,-
1714063,2677229,7714,5934,-,BLG ON,JDG MISSING,BLG Bin,BLG XUN,-,-,-
1723867,2677229,8952,8912,-,JDG knight,BLG Elk,JDG MISSING,JDG 369,-,-,-
1727094,2677229,9924,9544,-,BLG Yagao,JDG 369,BLG Elk,BLG XUN,BLG ON,-,-
1730213,2677229,8744,10693,-,BLG XUN,JDG knight,BLG Yagao,BLG Bin,BLG ON,-,-
