gameTime,gameId,summonerName,level
103587,2677225,BLG XUN,2
105451,2677225,JDG Kanavi,2
109552,2677225,JDG knight,2
123897,2677225,BLG Yagao,2
135006,2677225,BLG Bin,2
135440,2677225,JDG 369,2
140646,2677225,JDG Ruler,2
145711,2677225,JDG Kanavi,3
145981,2677225,BLG Elk,2
145981,2677225,BLG ON,2
147212,2677225,BLG XUN,3
152555,2677225,JDG MISSING,2
158096,2677225,JDG knight,3
168467,2677225,BLG Yagao,3
171931,2677225,BLG Bin,3
177430,2677225,JDG 369,3
193319,2677225,JDG knight,4
198324,2677225,JDG Ruler,3
202197,2677225,BLG Bin,4
207323,2677225,BLG Yagao,4
217307,2677225,JDG 369,4
229117,2677225,BLG Elk,3
229117,2677225,BLG ON,3
252114,2677225,JDG Kanavi,4
259382,2677225,JDG knight,5
260784,2677225,BLG ON,4
261718,2677225,BLG Yagao,5
267462,2677225,JDG MISSING,3
272729,2677225,BLG XUN,4
273560,2677225,JDG 369,5
284696,2677225,BLG Bin,5
286903,2677225,JDG Ruler,4
317968,2677225,BLG Yagao,6
337311,2677225,BLG Elk,4
337848,2677225,JDG Ruler,5
339182,2677225,JDG knight,6
342750,2677225,BLG Bin,6
350087,2677225,JDG 369,6
408825,2677225,BLG Elk,5
412356,2677225,JDG knight,7
426228,2677225,BLG ON,5
426228,2677225,BLG XUN,5
426931,2677225,JDG MISSING,4
432689,2677225,JDG Kanavi,5
436358,2677225,BLG Yagao,7
437156,2677225,JDG 369,7
454633,2677225,BLG Bin,7
460239,2677225,JDG Ruler,6
483789,2677225,JDG knight,8
488561,2677225,BLG XUN,6
496041,2677225,JDG MISSING,5
517867,2677225,BLG Yagao,8
531782,2677225,BLG Elk,6
533118,2677225,BLG Bin,8
543529,2677225,JDG 369,8
558027,2677225,JDG Kanavi,6
574064,2677225,BLG ON,6
576357,2677225,JDG Ruler,7
595568,2677225,JDG knight,9
632564,2677225,BLG Elk,7
662602,2677225,JDG 369,9
666304,2677225,JDG Kanavi,7
673581,2677225,JDG MISSING,6
692188,2677225,BLG XUN,7
698724,2677225,JDG knight,10
723041,2677225,BLG Yagao,9
727643,2677225,JDG Ruler,8
728479,2677225,BLG Bin,9
765751,2677225,JDG 369,10
773080,2677225,JDG Kanavi,8
780524,2677225,BLG XUN,8
792688,2677225,BLG Elk,8
812397,2677225,JDG knight,11
821557,2677225,BLG ON,7
826820,2677225,JDG MISSING,7
831552,2677225,BLG Bin,10
850329,2677225,JDG Ruler,9
874880,2677225,BLG Yagao,10
876213,2677225,JDG 369,11
895109,2677225,BLG XUN,9
915332,2677225,JDG Kanavi,9
935857,2677225,BLG Elk,9
947415,2677225,BLG Bin,11
957276,2677225,JDG Ruler,10
970200,2677225,JDG knight,12
970635,2677225,BLG Yagao,11
982218,2677225,JDG 369,12
995485,2677225,BLG ON,8
1042025,2677225,JDG Kanavi,10
1054453,2677225,BLG XUN,10
1059470,2677225,BLG Bin,12
1064832,2677225,JDG MISSING,8
1091194,2677225,JDG 369,13
1093326,2677225,JDG Ruler,11
1104959,2677225,BLG Elk,10
1111164,2677225,BLG Yagao,12
1153219,2677225,JDG knight,13
1205673,2677225,BLG Elk,11
1206972,2677225,JDG Ruler,12
1224969,2677225,BLG Yagao,13
1245754,2677225,JDG 369,14
1250590,2677225,JDG Kanavi,11
1250889,2677225,JDG knight,14
1255340,2677225,BLG Bin,13
1262007,2677225,BLG XUN,11
1274770,2677225,BLG ON,9
1328181,2677225,JDG MISSING,9
1347992,2677225,BLG Elk,12
1353535,2677225,JDG Ruler,13
1373122,2677225,JDG 369,15
1374461,2677225,BLG Yagao,14
1406363,2677225,JDG Kanavi,12
1419903,2677225,BLG ON,10
1421237,2677225,BLG XUN,12
1429396,2677225,JDG knight,15
1434903,2677225,BLG Bin,14
1503198,2677225,JDG Ruler,14
1511408,2677225,JDG MISSING,10
1540299,2677225,JDG 369,16
104209,2677229,JDG Kanavi,2
107943,2677229,BLG XUN,2
124589,2677229,JDG knight,2
126528,2677229,BLG Yagao,2
126627,2677229,BLG Bin,2
132829,2677229,JDG Ruler,2
156511,2677229,JDG 369,2
160083,2677229,JDG knight,3
165816,2677229,BLG Elk,2
168185,2677229,BLG Yagao,3
172650,2677229,JDG Ruler,3
173017,2677229,BLG Bin,3
175819,2677229,BLG ON,2
180233,2677229,JDG Kanavi,3
193392,2677229,JDG knight,4
199188,2677229,JDG 369,3
202464,2677229,BLG Yagao,4
205667,2677229,BLG Bin,4
224684,2677229,BLG Elk,3
241025,2677229,BLG XUN,3
245930,2677229,JDG 369,4
251838,2677229,JDG MISSING,2
254573,2677229,JDG Ruler,4
261750,2677229,JDG knight,5
262618,2677229,BLG Yagao,5
264154,2677229,BLG Bin,5
273120,2677229,JDG Kanavi,4
278887,2677229,BLG Elk,4
283068,2677229,BLG ON,3
290394,2677229,BLG XUN,4
291326,2677229,JDG MISSING,3
294794,2677229,JDG 369,5
321203,2677229,BLG Yagao,6
335634,2677229,JDG knight,6
340606,2677229,BLG Bin,6
346714,2677229,BLG XUN,5
357663,2677229,BLG ON,4
371372,2677229,BLG Elk,5
373307,2677229,JDG Ruler,5
373307,2677229,JDG Kanavi,5
386929,2677229,JDG 369,6
395542,2677229,JDG knight,7
401246,2677229,BLG Bin,7
401413,2677229,BLG Yagao,7
413916,2677229,JDG MISSING,4
450584,2677229,JDG Ruler,6
461422,2677229,BLG Elk,6
461422,2677229,BLG ON,5
464723,2677229,JDG 369,7
470496,2677229,JDG Kanavi,6
485296,2677229,BLG XUN,6
489023,2677229,JDG MISSING,5
495898,2677229,BLG Yagao,8
501334,2677229,BLG Bin,8
513414,2677229,JDG knight,8
556141,2677229,JDG Ruler,7
561686,2677229,JDG 369,8
573864,2677229,BLG Elk,7
576040,2677229,BLG XUN,7
585738,2677229,JDG Kanavi,7
592064,2677229,BLG Bin,9
620303,2677229,BLG Yagao,9
620967,2677229,JDG knight,9
637692,2677229,JDG MISSING,6
641924,2677229,JDG 369,9
667868,2677229,JDG Ruler,8
674574,2677229,BLG Elk,8
687230,2677229,BLG ON,6
690326,2677229,BLG Bin,10
718092,2677229,JDG Kanavi,8
722029,2677229,BLG Yagao,10
728102,2677229,JDG knight,10
728201,2677229,JDG 369,10
732113,2677229,BLG XUN,8
757097,2677229,JDG Ruler,9
764720,2677229,JDG MISSING,7
794006,2677229,BLG ON,7
798736,2677229,BLG Elk,9
814404,2677229,BLG Yagao,11
815674,2677229,JDG Kanavi,9
824279,2677229,BLG Bin,11
849125,2677229,JDG knight,11
859808,2677229,BLG XUN,9
867478,2677229,JDG 369,11
871743,2677229,JDG Ruler,10
904050,2677229,JDG Kanavi,10
909125,2677229,BLG Elk,10
909527,2677229,BLG ON,8
941077,2677229,JDG MISSING,8
947886,2677229,BLG Bin,12
972450,2677229,BLG Yagao,12
975886,2677229,JDG 369,12
1004160,2677229,JDG knight,12
1023697,2677229,JDG Ruler,11
1036141,2677229,JDG Kanavi,11
1051354,2677229,BLG XUN,10
1061281,2677229,BLG Elk,11
1087230,2677229,BLG Bin,13
1106419,2677229,JDG 369,13
1109919,2677229,BLG Yagao,13
1119610,2677229,JDG MISSING,9
1135639,2677229,BLG ON,9
1140480,2677229,JDG Ruler,12
1154360,2677229,BLG Elk,12
1164714,2677229,JDG knight,13
1196094,2677229,BLG XUN,11
1201578,2677229,JDG Kanavi,12
1260106,2677229,JDG MISSING,10
1280049,2677229,JDG 369,14
1294524,2677229,BLG Yagao,14
1311342,2677229,BLG Elk,13
1319520,2677229,BLG Bin,14
1376747,2677229,BLG ON,10
1411407,2677229,BLG Bin,15
1413908,2677229,JDG Ruler,13
1430763,2677229,BLG XUN,12
1433059,2677229,JDG Kanavi,13
1435887,2677229,JDG 369,15
1478450,2677229,BLG Elk,14
1495812,2677229,JDG MISSING,11
1518392,2677229,JDG knight,14
1529036,2677229,BLG XUN,13
1529036,2677229,BLG Yagao,15
1529036,2677229,BLG ON,11
1551053,2677229,JDG Ruler,14
1553887,2677229,JDG Kanavi,14
1578879,2677229,BLG Bin,16
1617179,2677229,BLG Elk,15
1665980,2677229,BLG XUN,14
1681690,2677229,JDG Kanavi,15
1690298,2677229,JDG MISSING,12
1711616,2677229,JDG Ruler,15
1712184,2677229,BLG ON,12
1712801,2677229,BLG Bin,17
1723867,2677229,JDG 369,16
1730213,2677229,BLG Yagao,16
1752456,2677229,BLG ON,13
1773236,2677229,BLG XUN,15
1790049,2677229,JDG knight,15
1796217,2677229,BLG Elk,16
1810440,2677229,JDG Kanavi,16
1849420,2677229,BLG Bin,18
1849420,2677229,BLG Yagao,17
1849420,2677229,BLG ON,14
1851971,2677229,JDG MISSING,13
104806,2677230,BLG XUN,2
106236,2677230,JDG Kanavi,2
126050,2677230,BLG Yagao,2
127785,2677230,JDG knight,2
134828,2677230,BLG Bin,2
138628,2677230,BLG XUN,3
143795,2677230,JDG Ruler,2
143795,2677230,JDG MISSING,2
147262,2677230,JDG Kanavi,3
153695,2677230,JDG 369,2
158536,2677230,BLG Elk,2
159168,2677230,BLG ON,2
161336,2677230,BLG Yagao,3
163768,2677230,JDG knight,3
168895,2677230,BLG Bin,3
182404,2677230,JDG 369,3
202023,2677230,BLG Bin,4
202456,2677230,BLG Elk,3
214078,2677230,JDG knight,4
214710,2677230,JDG 369,4
216045,2677230,JDG Kanavi,4
218713,2677230,BLG Yagao,4
220718,2677230,BLG ON,3
225718,2677230,JDG Ruler,3
266891,2677230,JDG MISSING,3
267323,2677230,BLG XUN,4
268190,2677230,BLG Yagao,5
270527,2677230,JDG 369,5
273771,2677230,JDG knight,5
279012,2677230,BLG Bin,5
289156,2677230,JDG Ruler,4
298979,2677230,BLG Elk,4
302454,2677230,JDG MISSING,4
335463,2677230,BLG Bin,6
336561,2677230,JDG knight,6
339430,2677230,BLG ON,4
345929,2677230,JDG Kanavi,5
352395,2677230,BLG Yagao,6
355136,2677230,JDG Ruler,5
362848,2677230,JDG 369,6
384305,2677230,BLG XUN,5
384305,2677230,BLG Elk,5
397195,2677230,JDG MISSING,5
416660,2677230,JDG knight,7
419358,2677230,BLG Bin,7
424631,2677230,BLG Yagao,7
447026,2677230,JDG Kanavi,6
452388,2677230,JDG 369,7
458296,2677230,BLG ON,5
489486,2677230,BLG Elk,6
491995,2677230,JDG Ruler,6
501064,2677230,JDG knight,8
502930,2677230,BLG XUN,6
507370,2677230,BLG Bin,8
525200,2677230,JDG MISSING,6
549824,2677230,BLG Yagao,8
555290,2677230,JDG 369,8
564789,2677230,JDG Ruler,7
574197,2677230,BLG ON,6
577554,2677230,JDG Kanavi,7
625156,2677230,JDG knight,9
627830,2677230,BLG Elk,7
638000,2677230,BLG Bin,9
638365,2677230,BLG Yagao,9
659110,2677230,BLG XUN,7
668102,2677230,JDG 369,9
676777,2677230,JDG Ruler,8
694386,2677230,BLG Elk,8
723964,2677230,JDG knight,10
729231,2677230,BLG Bin,10
730764,2677230,JDG Kanavi,8
744339,2677230,BLG XUN,8
756851,2677230,BLG Yagao,10
768503,2677230,JDG 369,10
785398,2677230,JDG Ruler,9
807221,2677230,JDG Kanavi,9
811758,2677230,BLG Elk,9
813023,2677230,JDG knight,11
814053,2677230,BLG ON,7
820912,2677230,JDG MISSING,7
846948,2677230,BLG Bin,11
866888,2677230,BLG XUN,9
883926,2677230,JDG 369,11
895975,2677230,JDG Kanavi,10
905794,2677230,JDG Ruler,10
919930,2677230,BLG Yagao,11
947296,2677230,BLG Elk,10
958138,2677230,JDG knight,12
975855,2677230,BLG Bin,12
978255,2677230,BLG XUN,10
1001090,2677230,JDG 369,12
1021579,2677230,JDG Ruler,11
1039793,2677230,BLG Yagao,12
1052512,2677230,JDG Kanavi,11
1064640,2677230,JDG knight,13
1068272,2677230,BLG Elk,11
1102919,2677230,BLG XUN,11
1105256,2677230,JDG MISSING,8
1108731,2677230,BLG ON,8
1124053,2677230,JDG Ruler,12
1126693,2677230,JDG 369,13
1128295,2677230,BLG Bin,13
1199863,2677230,JDG Kanavi,12
1221882,2677230,JDG knight,14
1240812,2677230,JDG Ruler,13
1249013,2677230,BLG Elk,12
1252958,2677230,BLG Yagao,13
1255590,2677230,JDG MISSING,9
1279672,2677230,JDG 369,14
1279672,2677230,JDG Kanavi,13
1279672,2677230,JDG MISSING,10
1289873,2677230,JDG knight,15
1314204,2677230,BLG ON,9
1356715,2677230,JDG 369,15
1392641,2677230,JDG Ruler,14
1394039,2677230,JDG MISSING,11
104402,2677232,BLG XUN,2
