gameTime,buildingType,lane,turretTier,gameId,positionX,positionY,killerTeam,buildingTeam,assistant1,assistant2,assistant3,assistant4,assistant5,killer
511690,turretPlate,bot,outer,2677225,13866,4505,JDG,BLG,-,-,-,-,-,
536830,turretPlate,mid,outer,2677225,8955,8510,JDG,BLG,-,-,-,-,-,JDG knight
680714,turretPlate,top,outer,2677225,4318,13875,JDG,BLG,-,-,-,-,-,JDG 369
686083,turretPlate,mid,outer,2677225,8955,8510,JDG,BLG,-,-,-,-,-,JDG knight
690152,turretPlate,top,outer,2677225,4318,13875,JDG,BLG,-,-,-,-,-,JDG 369
737620,turretPlate,bot,outer,2677225,10504,1029,BLG,JDG,-,-,-,-,-,
810833,turretPlate,bot,outer,2677225,13866,4505,JDG,BLG,-,-,-,-,-,JDG Kanavi
810833,turretPlate,bot,outer,2677225,13866,4505,JDG,BLG,-,-,-,-,-,JDG Kanavi
829217,turretPlate,top,outer,2677225,4318,13875,JDG,BLG,-,-,-,-,-,
909060,turret,bot,outer,2677225,13866,4505,JDG,BLG,-,-,-,-,-,JDG knight
977949,turret,top,outer,2677225,4318,13875,JDG,BLG,-,-,-,-,-,JDG knight
1062702,turret,mid,outer,2677225,8955,8510,JDG,BLG,JDG Kanavi,-,-,-,-,JDG Ruler
1334011,turret,bot,outer,2677225,10504,1029,BLG,JDG,-,-,-,-,-,BLG XUN
1456719,turret,mid,inner,2677225,9767,10113,JDG,BLG,JDG MISSING,JDG knight,JDG Kanavi,JDG 369,-,JDG Ruler
1465158,turret,mid,base,2677225,11134,11207,JDG,BLG,JDG Ruler,JDG MISSING,JDG knight,JDG Kanavi,-,JDG 369
1470561,inhibitor,mid,,2677225,11603,11667,JDG,BLG,JDG Ruler,JDG MISSING,JDG knight,JDG Kanavi,-,JDG 369
1541397,turret,mid,nexus,2677225,13052,12612,JDG,BLG,JDG Ruler,JDG knight,-,-,-,JDG 369
1545760,turret,mid,nexus,2677225,12611,13084,JDG,BLG,JDG Ruler,JDG 369,-,-,-,JDG knight
386395,turretPlate,top,outer,2677229,4318,13875,BLG,JDG,-,-,-,-,-,BLG Bin
414048,turretPlate,top,outer,2677229,4318,13875,BLG,JDG,-,-,-,-,-,
498531,turretPlate,bot,outer,2677229,10504,1029,JDG,BLG,-,-,-,-,-,
703649,turretPlate,mid,outer,2677229,5846,6396,JDG,BLG,-,-,-,-,-,JDG knight
737718,turretPlate,top,outer,2677229,981,10441,JDG,BLG,-,-,-,-,-,JDG 369
748295,turretPlate,bot,outer,2677229,13866,4505,BLG,JDG,-,-,-,-,-,BLG Elk
754433,turretPlate,bot,outer,2677229,13866,4505,BLG,JDG,-,-,-,-,-,BLG XUN
