baronTakedowns,bountyGold,buffsStolen,completeSupportQuestInTime,controlWardTimeCoverageInRiverOrEnemyHalf,controlWardsPlaced,damagePerMinute,damageTakenOnTeamPercentage,deathsByEnemyChamps,dragonTakedowns,earlyLaningPhaseGoldExpAdvantage,effectiveHealAndShielding,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterKillsWithin30SecondsOfSpawn,firstTurretKilled,gameLength,goldPerMinute,highestCrowdControlScore,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,kTurretsDestroyedBeforePlatesFall,kda,killParticipation,killedChampTookFullTeamDamageSurvived,killingSprees,killsUnderOwnTurret,laneMinionsFirst10Minutes,laningPhaseGoldExpAdvantage,legendaryCount,maxCsAdvantageOnLaneOpponent,maxKillDeficit,maxLevelLeadLaneOpponent,mejaisFullStackInTime,multiKillOneSpell,multiTurretRiftHeraldCount,mythicItemUsed,outerTurretExecutesBefore10Minutes,riftHeraldTakedowns,scuttleCrabKills,soloKills,stealthWardsPlaced,takedownOnFirstTurret,takedowns,takedownsAfterGainingLevelAdvantage,takedownsBeforeJungleMinionSpawn,teamBaronKills,teamDamagePercentage,teamElderDragonKills,teamRiftHeraldKills,turretPlatesTaken,turretTakedowns,turretsTakenWithRiftHerald,unseenRecalls,visionScoreAdvantageLaneOpponent,visionScorePerMinute,wardTakedowns,wardTakedownsBefore20M,wardsGuarded,gameId,summonerName,earliestDragonTakedown,highestWardKills,junglerKillsEarlyJungle,killsOnLanersEarlyJungleAsJungler,mythicItemUsedImg,earliestBaron,teleportTakedowns,fasterSupportQuestCompletion,baronBuffGoldAdvantageOverThreshold
0.0,0.0,0.0,0.0,0.781648108155991,4.0,583.4656186305541,0.25255374847046297,1.0,0.0,0.0,0.0,53.0,0.0,0.0,909.0600009999999,1555.3700044999998,399.8148966850866,1.0,0.0,0.0,0.0,0.0,7.0,0.5384615384615384,0.0,0.0,0.0,78.0,0.0,0.0,56.0,0.0,2.0,0.0,0.0,0.0,Glacieterno,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.3155471502238887,0.0,1.0,3.0,4.0,0.0,0.0,0.06402075290679932,0.9684290692632239,3.0,0.0,1.0,2677225,JDG 369,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6656_mage_t4_everfrost.png,,,,
0.0,0.0,2.0,0.0,0.8513838925585375,6.0,205.312556667284,0.23877906552259195,1.0,2.0,0.0,482.16876220703125,39.0,7.0,0.0,909.0600009999999,1555.3700044999998,340.68891819030193,-,2.0,1.0,51.600000113248825,0.0,7.0,0.5384615384615384,0.0,0.0,0.0,1.0,0.0,0.0,7.600000023841858,0.0,1.0,0.0,0.0,0.0,Proteção Imutável,0.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.11103617778473421,0.0,1.0,3.0,3.0,0.0,0.0,0.45511019229888916,1.2640779536745383,8.0,7.0,0.0,2677225,JDG Kanavi,1089.890036,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/3001_support_lunari.png,,,,
0.0,0.0,0.0,0.0,0.6109517286245184,4.0,526.6988431441428,0.1877252058973286,0.0,1.0,0.0,0.0,5.0,2.0,0.0,909.0600009999999,1555.3700044999998,469.5131560816339,-,0.0,0.0,0.0,0.0,9.0,0.6923076923076923,0.0,1.0,0.0,93.0,1.0,0.0,42.599999994039536,0.0,3.0,0.0,0.0,0.0,Eclipse,0.0,1.0,2.0,1.0,3.0,1.0,9.0,0.0,0.0,0.0,0.28484680788978706,0.0,1.0,2.0,6.0,0.0,0.0,0.5166977643966675,2.1795518771926465,19.0,10.0,0.0,2677225,JDG knight,1089.890036,1.0,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6692_assassin_t4_eclipse.png,,,,
0.0,0.0,0.0,0.0,0.3536264683700218,3.0,437.42822119918293,0.13050761328049085,0.0,2.0,0.0,0.0,5.0,0.0,0.0,909.0600009999999,1555.3700044999998,464.25656923969575,-,0.0,0.0,0.0,0.0,7.0,0.5384615384615384,0.0,1.0,0.0,71.0,1.0,0.0,247.00000008940697,0.0,4.0,0.0,0.0,0.0,Força do Vendaval,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.23656788715481455,0.0,1.0,3.0,5.0,0.0,0.0,-0.2655455470085144,1.811920592234403,10.0,6.0,0.0,2677225,JDG Ruler,1089.890036,-,0.0,0.0,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6671_marksman_t4_galeforce.png,,,,
0.0,0.0,0.0,1.0,0.7925888989329548,7.0,96.15477632339316,0.19043436682912562,2.0,1.0,0.0,2102.281494140625,8.0,0.0,0.0,909.0600009999999,1555.3700044999998,250.82577369816127,-,0.0,0.0,0.0,0.0,4.0,0.6153846153846154,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hino Bélico de Shurelya,0.0,0.0,0.0,0.0,33.0,0.0,8.0,0.0,0.0,0.0,0.05200197694677547,0.0,1.0,2.0,2.0,0.0,0.0,2.189159631729126,3.0114590688499745,11.0,10.0,0.0,2677225,JDG MISSING,1089.890036,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2065_tank_t4_shurelyasbattlesong.png,,,,
0.0,0.0,0.0,0.0,0.21758939932032095,3.0,310.37580598398387,0.3146284727824885,4.0,0.0,0.0,0.0,10.0,0.0,0.0,-,1555.3700044999998,329.470112066508,-,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,71.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,Ruptor Divino,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.2298652421114255,0.0,1.0,0.0,0.0,5.0,0.0,-0.06016874313354492,0.9101599040921554,5.0,4.0,0.0,2677225,BLG Bin,-,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6632_fighter_t4_divinedevourer.png,,,,
0.0,0.0,0.0,0.0,0.7526389155719378,5.0,227.96177200146724,0.3095150525068577,1.0,2.0,0.0,0.0,30.0,0.0,0.0,-,1555.3700044999998,304.4241536712913,-,2.0,1.0,47.500000059604645,0.0,3.0,0.75,0.0,0.0,0.0,8.0,0.0,0.0,16.500000029802322,0.0,1.0,0.0,0.0,0.0,-,0.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.16882916420351024,0.0,1.0,0.0,1.0,5.0,0.0,-0.31276679039001465,0.8687163210800748,4.0,2.0,1.0,2677225,BLG XUN,426.2280106,-,-,-,-,,,,
0.0,0.0,0.0,0.0,0.7906125354367408,3.0,245.94905150348748,0.1296965646530603,3.0,2.0,1.0,0.0,42.0,0.0,0.0,-,1555.3700044999998,337.5916095604826,-,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,88.0,1.0,0.0,203.0,0.0,5.0,0.0,0.0,0.0,Angústia de Liandry,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.1821505967312477,0.0,1.0,0.0,0.0,5.0,0.0,-0.686437726020813,0.9442798334539915,2.0,1.0,0.0,2677225,BLG Yagao,426.2280106,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6653_mage_t4_liandrysanguish.png,,,,
0.0,0.0,0.0,0.0,0.6045836856692449,6.0,367.33037591345686,0.11376430519063528,3.0,2.0,0.0,0.0,5.0,0.0,0.0,-,1555.3700044999998,378.93264435137826,-,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Força do Vendaval,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.27204596545964294,0.0,1.0,0.0,0.0,5.0,0.0,-0.3406728506088257,1.4370377600052877,12.0,7.0,0.0,2677225,BLG Elk,426.2280106,-,-,-,https://raw.communitydragon.org/latest/game/assets/items/icons2d/6671_marksman_t4_galeforce.png,,,,
0.0,0.0,0.0,1.0,0.5085915315399796,9.0,198.63413797634738,0.13239560486695826,2.0,2.0,0.0,2303.3076171875,4.0,0.0,0.0,-,1555.3700044999998,218.21269755302143,-,0.0,0.0,0.0,0.0,1.5,0.75,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hino Bélico de Shurelya,0.0,0.0,0.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.1471090314941736,0.0,1.0,0.0,0.0,5.0,0.0,0.36155474185943604,2.467029122216706,10.0,5.0,1.0,2677225,BLG ON,426.2280106,-,0.0,1.0,https://raw.communitydragon.org/latest/game/assets/items/icons2d/2065_tank_t4_shurelyasbattlesong.png,,,,
